Date,Country,Description
3/22/2016,Belgium,"A series of deadly terrorist attacks struck Brussels, with two explosions at the city’s main international airport and a third in a subway station at the heart of the city, near the headquarters complex of the European Union. More »"
3/19/2016,Turkey,A suicide bombing on Istanbul's busiest thoroughfare killed three Israeli citizens and an Iranian. Two of the Israelis held dual Israeli-American citizenship. More »
3/4/2016,Yemen,Gunmen killed 18 people at a nursing home founded by Mother Teresa and run by Christian nuns. More »
1/29/2016,Yemen,"A bomb-packed car driven by a suicide attacker exploded at a checkpoint near the presidential palace in the southern city of Aden, killing at least eight people. More »"
1/14/2016,Indonesia,"ISIS claimed responsibility for explosions and gunfire that rocked central Jakarta, killing at least two civilians. More »"
1/12/2016,Turkey,"A Syrian suicide bomber set off an explosion in the historic central district of Istanbul, killing 10 people and wounding at least 15 others, in an attack the Turkish government attributed to ISIS. More »"
1/11/2016,France,"A teenager attacked a Jewish teacher with a machete in Marseille, and afterward told the police that he had carried out the attack in the name of God and the Islamic State.   "
1/8/2016,Egypt,"Gunmen reportedly carrying an ISIS flag opened fire at a Red Sea resort, injuring at least two tourists. More »"
1/7/2016,Egypt,ISIS claimed responsibility for an attack on a hotel in Cairo near the pyramids at Giza. No one was hurt. More »
1/7/2016,Pennsylvania,"A man shot and wounded a Philadelphia police officer sitting in a patrol car in the name of Islam and the Islamic State, police said. More »"
1/4/2016,Libya,"Islamic State militants attempted to capture an oil port along Libya’s coast, in fighting that left at least seven people dead. "
12/7/2015,Yemen,The Islamic State claimed responsibility for a car bomb that killed a provincial governor and eight of his body guards. More »
12/2/2015,California,"A married couple shot and killed 14 people in San Bernardino, Calif. The FBI is investigating the shooting as an act of terrorism inspired by ISIS. More »"
11/26/2015,Bangladesh,"ISIS claimed responsiblity for an attack on a Shiite mosque during evening prayer in which gunmen opened fire on worshipers with machine guns, killing one man and injuring three others. More »"
11/24/2015,Egypt,"ISIS militants attacked a hotel in the northern Sinai Peninsula, killing at least seven people. "
11/18/2015,France,A teacher at a Jewish school in Marseille was stabbed by three people who appeared to profess support for ISIS. More »
11/13/2015,France,President François Hollande blamed the Islamic State for terrorist attacks across Paris that killed more than 100 people. The Islamic State claimed responsiblity.  More »
11/12/2015,Lebanon,"ISIS claimed responsiblity for a double suicide bombing that ripped through a busy shopping district at rush hour, killing at least 43 people. More »"
11/4/2015,Egypt,ISIS's Sinai affiliate claimed responsiblity for a suicide bombing that killed at least four police officers. More »
11/4/2015,Bangladesh,ISIS claimed responsibility for a stabbing and shooting that left one police officer dead and another wounded. More »
10/31/2015,Egypt,An ISIS affiliate in Sinai claimed responsiblity for the downing of a Russian passenger jet that killed all 224 people on board. More »
10/30/2015,Turkey,ISIS militants killed two Syrian anti-ISIS activists. 
10/24/2015,Bangladesh,ISIS claimed responsiblity for bombings that killed one person and wounded dozens more during a procession commemorating a Shiite Muslim holiday. More »
